id,word,display
1,"Hey, how have you been? I've been meaning to catch up with you. What's new in your life lately?","Hey, how have you been? I've been meaning to catch up with you. \nWhat's new in your life lately?"
2,Good day! I hope you're doing well. How's your day been shaping up?,Good day! I hope you're doing well. How's your day been shaping up?
3,"Hey there, stranger! It feels like it's been ages since we last talked. How have you been keeping yourself busy?","Hey there, stranger! It feels like it's been ages since we last talked. How have you been keeping yourself busy?"
4,"Hi, it's been a while! I've missed our conversations. What have you been up to lately?","Hi, it's been a while! I've missed our conversations. What have you been up to lately?"
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
